# HR	designation	proper name
# designations from the Yale BSC5 (bytes 5-14); proper names are a
# curated subset -- a blank third column just means no common name
# is carried here, the designation is still authoritative.
656	20 Ari	
657	21 Ari	
660	Del Tri	
661	8 Per	
662	7 Per	
664	Gam Tri	
666	67 Cet	
667	Pi Hyi	
669	The Ari	
670	62 And	
674	Phi Eri	
675	10 Tri	
678	Pi Hyi	
681	Omi Cet	
682	63 And	
685	9 Per	
689	69 Cet	
691	70 Cet	
694	64 And	
695	Kap For	
696	10 Per	
699	65 And	
702	Xi Ari	
704	71 Cet	
705	Del Hyi	
707	Iot Cas	
708	Rho Cet	
709	66 And	
712	11 Tri	
714	Lam Hor	
715	Kap Hyi	
717	12 Tri	
718	Xi Cet	
720	13 Tri	
721	Kap Eri	
724	Phi For	
729	26 Ari	
731	27 Ari	
736	14 Tri	
739	75 Cet	
740	Sig Cet	
741	29 Ari	
744	Lam For	
749	Ome For	
750	15 Tri	
752	77 Cet	
754	Nu Cet	
759	80 Cet	
763	31 Ari	
764	30 Ari	
765	30 Ari	
767	Iot For	
771	81 Cet	
772	Lam For	
773	Nu Ari	
776	Mu Hyi	
777	Iot For	
778	Eta Hor	
779	Del Cet	
781	Eps Cet	
782	33 Ari	
785	11 Per	
788	12 Per	
790	84 Cet	
793	Mu Ari	
794	Iot Eri	
799	The Per	
800	14 Per	
801	35 Ari	
802	Zet Hor	
804	Gam Cet	
806	Eps Hyi	
808	36 Ari	
809	Omi Ari	
810	Iot Hor	
811	Pi Cet	
812	38 Ari	
813	Mu Cet	
818	Tau Eri	
824	39 Ari	
828	40 Ari	
833	Gam Hor	
834	Eta Per	
835	Eta For	
836	Pi Ari	
837	Zet Hyi	
838	41 Ari	
840	16 Per	
841	Bet For	
843	17 Per	
844	Gam For	
845	Gam For	
847	Sig Ari	
848	Eta For	
850	Tau Eri	
851	Eta For	
852	Nu Hor	
854	Tau Per	
855	20 Per	
863	Psi For	
867	Rho Ari	
869	Rho Ari	
872	Nu Hyi	
873	21 Per	
874	Eta Eri	
878	47 Ari	
879	Pi Per	
882	24 Per	
883	4 Eri	
887	Eps Ari	
888	Eps Ari	
889	6 Eri	
896	Lam Cet	
897	The Eri	
898	The Eri	
899	5 Eri	
901	Zet For	
904	7 Eri	
905	49 Ari	
907	Rho Eri	
909	Bet Hor	
910	93 Cet	
911	Alp Cet	Menkar
914	Eps For	
915	Gam Per	
917	Rho Eri	
919	Tau Eri	
921	Rho Per	
925	Rho Eri	
927	52 Ari	
928	52 Ari	
934	Mu Hor	
936	Bet Per	Algol
937	Iot Per	
938	53 Ari	
939	The Hyi	
940	54 Ari	
941	Kap Per	
944	55 Ari	
947	Ome Per	
951	Del Ari	
954	56 Ari	
962	94 Cet	
963	Alp For	
972	Zet Ari	
982	30 Per	
984	Zet Eri	
987	29 Per	
988	14 Eri	
989	31 Per	
992	95 Cet	
994	15 Eri	
995	59 Ari	
996	Kap Cet	
1000	60 Ari	
1002	32 Per	
1003	Tau Eri	
1005	Tau Ari	
1006	Zet Ret	
1007	Kap Cet	
1010	Zet Ret	
1012	62 Ari	
1015	Tau Ari	
1017	Alp Per	Mirfak
1022	64 Ari	
1025	Iot Hyi	
1027	65 Ari	
1030	Omi Tau	
1038	Xi Tau	
1042	Chi For	
1044	34 Per	
1048	66 Ari	
1052	Sig Per	
1054	Chi For	
